anho,mes,ipc.dic.2008
1973,11,"0,27558"
1973,12,"0,27883"
1974,01,"0,28679"
1974,02,"0,29406"
1974,03,"0,30373"
1974,04,"0,31198"
1974,05,"0,31567"
1974,06,"0,31897"
1974,07,"0,322"
1974,08,"0,32297"
1974,09,"0,32796"
1974,10,"0,34175"
1974,11,"0,34565"
1974,12,"0,35231"
1975,01,"0,3624"
1975,02,"0,36844"
1975,03,"0,37855"
1975,04,"0,38805"
1975,05,"0,39515"
1975,06,"0,39806"
1975,07,"0,40044"
1975,08,"0,40044"
1975,09,"0,40586"
1975,10,"0,4098"
1975,11,"0,41219"
1975,12,"0,41492"
1976,01,"0,42442"
1976,02,"0,43422"
1976,03,"0,44337"
1976,04,"0,45149"
1976,05,"0,45714"
1976,06,"0,46864"
1976,07,"0,48085"
1976,08,"0,48781"
1976,09,"0,49622"
1976,10,"0,50423"
1976,11,"0,51651"
1976,12,"0,52181"
1977,01,"0,53358"
1977,02,"0,55378"
1977,03,"0,576"
1977,04,"0,61689"
1977,05,"0,64389"
1977,06,"0,66381"
1977,07,"0,67052"
1977,08,"0,66835"
1977,09,"0,66925"
1977,10,"0,66762"
1977,11,"0,66859"
1977,12,"0,67163"
1978,01,"0,67879"
1978,02,"0,6887"
1978,03,"0,71076"
1978,04,"0,72226"
1978,05,"0,73886"
1978,06,"0,75762"
1978,07,"0,75561"
1978,08,"0,75665"
1978,09,"0,7598"
1978,10,"0,77552"
1978,11,"0,78639"
1978,12,"0,79537"
1979,01,"0,82162"
1979,02,"0,83673"
1979,03,"0,87093"
1979,04,"0,88684"
1979,05,"0,90593"
1979,06,"0,92104"
1979,07,"0,93297"
1979,08,"0,94967"
1979,09,"0,97035"
1979,10,"0,98387"
1979,11,"1,00773"
1979,12,"1,02443"
1980,01,"1,0483"
1980,02,"1,05943"
1980,03,"1,0817"
1980,04,"1,12306"
1980,05,"1,16203"
1980,06,"1,17635"
1980,07,"1,18828"
1980,08,"1,19783"
1980,09,"1,21771"
1980,10,"1,24475"
